brand_sales_no,stock_in_date,doc_no,order_tx_type,audit_date,material_code,material_name,receivable_qty,batch_no,warehouse,doc_status,expiry_date,model,stock_in_qty,remark,logistics_no,logistics_company,supplier_material_code,supplier_material_name
BS-00000131,2026-04-24,RK-00000131,02,2026-04-24,SKU-0029,物料-15,276,R20260424-0131,WH-002-次仓,已审核,2027-11-03,D型,786,,LG202604240131,顺丰,SUP-000131,供应商物料-131
BS-00000132,2026-04-13,RK-00000132,02,2026-04-14,SKU-0017,物料-21,993,R20260413-0132,WH-002-次仓,已审核,2027-06-04,B型,197,,LG202604130132,中通,SUP-000132,供应商物料-132
BS-00000133,2026-04-18,RK-00000133,03,2026-04-18,SKU-0024,物料-21,106,R20260418-0133,WH-001-主仓,已审核,2027-09-09,C型,633,破损,LG202604180133,中通,SUP-000133,供应商物料-133
BS-00000134,2026-05-02,RK-00000134,03,2026-05-02,SKU-0026,物料-27,292,R20260502-0134,WH-002-次仓,已审核,2027-05-01,B型,39,正常,LG202605020134,中通,SUP-000134,供应商物料-134
BS-00000135,2026-04-15,RK-00000135,01,2026-04-15,SKU-0012,物料-08,256,R20260415-0135,WH-002-次仓,已审核,2027-12-10,D型,794,破损,LG202604150135,中通,SUP-000135,供应商物料-135
BS-00000136,2026-03-28,RK-00000136,01,2026-03-28,SKU-0017,物料-17,44,R20260328-0136,WH-002-次仓,已审核,2027-08-12,C型,445,破损,LG202603280136,圆通,SUP-000136,供应商物料-136
BS-00000137,2026-05-08,RK-00000137,01,2026-05-10,SKU-0009,物料-08,795,R20260508-0137,WH-001-主仓,已审核,2028-02-28,D型,324,正常,LG202605080137,申通,SUP-000137,供应商物料-137
BS-00000138,2026-04-28,RK-00000138,02,2026-04-30,SKU-0013,物料-04,478,R20260428-0138,WH-002-次仓,已审核,2027-10-17,A型,896,破损,LG202604280138,中通,SUP-000138,供应商物料-138
BS-00000139,2026-04-23,RK-00000139,02,2026-04-25,SKU-0008,物料-29,77,R20260423-0139,WH-002-次仓,已审核,2027-10-16,A型,397,,LG202604230139,顺丰,SUP-000139,供应商物料-139
BS-00000140,2026-04-28,RK-00000140,02,2026-04-30,SKU-0022,物料-10,198,R20260428-0140,WH-003-电商仓,已审核,2026-11-29,B型,689,正常,LG202604280140,顺丰,SUP-000140,供应商物料-140
BS-00000141,2026-04-24,RK-00000141,01,2026-04-25,SKU-0006,物料-06,50,R20260424-0141,WH-003-电商仓,已审核,2028-03-19,B型,489,破损,LG202604240141,圆通,SUP-000141,供应商物料-141
BS-00000142,2026-04-13,RK-00000142,01,2026-04-15,SKU-0027,物料-06,617,R20260413-0142,WH-003-电商仓,已审核,2027-09-04,A型,617,正常,LG202604130142,申通,SUP-000142,供应商物料-142
BS-00000143,2026-05-25,RK-00000143,02,2026-05-26,SKU-0026,物料-17,692,R20260525-0143,WH-002-次仓,未审核,2027-08-16,D型,144,破损,LG202605250143,中通,SUP-000143,供应商物料-143
BS-00000144,2026-06-06,RK-00000144,01,2026-06-06,SKU-0023,物料-08,954,R20260606-0144,WH-003-电商仓,已审核,2027-02-10,D型,47,,LG202606060144,圆通,SUP-000144,供应商物料-144
BS-00000145,2026-06-02,RK-00000145,03,2026-06-03,SKU-0024,物料-13,916,R20260602-0145,WH-001-主仓,未审核,2028-04-30,C型,297,破损,LG202606020145,顺丰,SUP-000145,供应商物料-145
BS-00000146,2026-05-26,RK-00000146,01,2026-05-28,SKU-0029,物料-15,76,R20260526-0146,WH-003-电商仓,已审核,2027-12-04,C型,78,正常,LG202605260146,申通,SUP-000146,供应商物料-146
BS-00000147,2026-03-13,RK-00000147,02,2026-03-13,SKU-0007,物料-04,956,R20260313-0147,WH-001-主仓,未审核,2027-06-28,C型,755,破损,LG202603130147,中通,SUP-000147,供应商物料-147
BS-00000148,2026-03-21,RK-00000148,01,2026-03-21,SKU-0029,物料-29,317,R20260321-0148,WH-003-电商仓,已审核,2027-06-29,A型,76,,LG202603210148,申通,SUP-000148,供应商物料-148
BS-00000149,2026-06-02,RK-00000149,03,2026-06-04,SKU-0001,物料-28,128,R20260602-0149,WH-003-电商仓,已审核,2027-11-23,A型,577,,LG202606020149,顺丰,SUP-000149,供应商物料-149
BS-00000150,2026-04-08,RK-00000150,02,2026-04-08,SKU-0010,物料-25,862,R20260408-0150,WH-003-电商仓,已审核,2028-03-11,A型,797,,LG202604080150,圆通,SUP-000150,供应商物料-150
BS-00000151,2026-04-27,RK-00000151,01,2026-04-27,SKU-0015,物料-15,692,R20260427-0151,WH-001-主仓,未审核,2027-09-25,B型,201,破损,LG202604270151,圆通,SUP-000151,供应商物料-151
BS-00000152,2026-03-19,RK-00000152,01,2026-03-19,SKU-0029,物料-23,195,R20260319-0152,WH-001-主仓,已审核,2026-10-20,D型,129,正常,LG202603190152,顺丰,SUP-000152,供应商物料-152
BS-00000153,2026-04-03,RK-00000153,01,2026-04-04,SKU-0014,物料-14,983,R20260403-0153,WH-003-电商仓,已审核,2028-01-30,A型,410,破损,LG202604030153,中通,SUP-000153,供应商物料-153
BS-00000154,2026-04-28,RK-00000154,01,2026-04-28,SKU-0004,物料-11,79,R20260428-0154,WH-001-主仓,已审核,2027-11-07,C型,409,破损,LG202604280154,中通,SUP-000154,供应商物料-154
BS-00000155,2026-05-13,RK-00000155,03,2026-05-13,SKU-0004,物料-30,766,R20260513-0155,WH-003-电商仓,已审核,2027-10-18,C型,532,破损,LG202605130155,申通,SUP-000155,供应商物料-155
BS-00000156,2026-05-27,RK-00000156,01,2026-05-28,SKU-0029,物料-20,934,R20260527-0156,WH-002-次仓,已审核,2027-07-10,A型,918,正常,LG202605270156,顺丰,SUP-000156,供应商物料-156
BS-00000157,2026-04-17,RK-00000157,01,2026-04-19,SKU-0009,物料-28,680,R20260417-0157,WH-002-次仓,已审核,2027-11-14,A型,667,,LG202604170157,顺丰,SUP-000157,供应商物料-157
BS-00000158,2026-03-23,RK-00000158,02,2026-03-24,SKU-0015,物料-17,293,R20260323-0158,WH-002-次仓,已审核,2027-11-13,D型,23,,LG202603230158,中通,SUP-000158,供应商物料-158
BS-00000159,2026-05-24,RK-00000159,03,2026-05-25,SKU-0012,物料-25,628,R20260524-0159,WH-001-主仓,已审核,2027-12-26,C型,555,,LG202605240159,顺丰,SUP-000159,供应商物料-159
BS-00000160,2026-05-31,RK-00000160,02,2026-06-02,SKU-0009,物料-10,955,R20260531-0160,WH-002-次仓,已审核,2028-03-28,D型,725,正常,LG202605310160,圆通,SUP-000160,供应商物料-160
BS-00000161,2026-05-15,RK-00000161,03,2026-05-17,SKU-0003,物料-06,557,R20260515-0161,WH-003-电商仓,已审核,2026-12-26,A型,607,破损,LG202605150161,中通,SUP-000161,供应商物料-161
BS-00000162,2026-06-05,RK-00000162,01,2026-06-06,SKU-0027,物料-06,357,R20260605-0162,WH-003-电商仓,已审核,2027-05-04,D型,478,破损,LG202606050162,中通,SUP-000162,供应商物料-162
BS-00000163,2026-03-26,RK-00000163,03,2026-03-26,SKU-0015,物料-01,924,R20260326-0163,WH-001-主仓,已审核,2027-06-09,B型,902,破损,LG202603260163,圆通,SUP-000163,供应商物料-163
BS-00000164,2026-05-30,RK-00000164,02,2026-06-01,SKU-0025,物料-05,204,R20260530-0164,WH-003-电商仓,已审核,2027-09-08,A型,163,正常,LG202605300164,顺丰,SUP-000164,供应商物料-164
BS-00000165,2026-06-03,RK-00000165,01,2026-06-03,SKU-0021,物料-04,789,R20260603-0165,WH-002-次仓,已审核,2027-10-26,C型,179,破损,LG202606030165,中通,SUP-000165,供应商物料-165
BS-00000166,2026-03-21,RK-00000166,02,2026-03-23,SKU-0011,物料-11,493,R20260321-0166,WH-003-电商仓,已审核,2028-01-01,C型,966,正常,LG202603210166,中通,SUP-000166,供应商物料-166
BS-00000167,2026-04-22,RK-00000167,02,2026-04-22,SKU-0006,物料-17,993,R20260422-0167,WH-001-主仓,已审核,2027-07-14,D型,688,,LG202604220167,中通,SUP-000167,供应商物料-167
BS-00000168,2026-04-06,RK-00000168,03,2026-04-07,SKU-0015,物料-07,597,R20260406-0168,WH-003-电商仓,已审核,2027-03-08,A型,395,,LG202604060168,顺丰,SUP-000168,供应商物料-168
BS-00000169,2026-04-29,RK-00000169,01,2026-04-30,SKU-0007,物料-20,289,R20260429-0169,WH-003-电商仓,已审核,2027-12-28,C型,706,正常,LG202604290169,中通,SUP-000169,供应商物料-169
BS-00000170,2026-04-03,RK-00000170,02,2026-04-04,SKU-0019,物料-03,842,R20260403-0170,WH-002-次仓,已审核,2027-06-08,D型,315,,LG202604030170,顺丰,SUP-000170,供应商物料-170
BS-00000171,2026-05-14,RK-00000171,02,2026-05-15,SKU-0014,物料-02,357,R20260514-0171,WH-001-主仓,已审核,2027-08-03,D型,634,正常,LG202605140171,申通,SUP-000171,供应商物料-171
BS-00000172,2026-03-28,RK-00000172,03,2026-03-30,SKU-0004,物料-08,601,R20260328-0172,WH-002-次仓,已审核,2026-11-21,A型,665,破损,LG202603280172,圆通,SUP-000172,供应商物料-172
BS-00000173,2026-04-14,RK-00000173,02,2026-04-15,SKU-0021,物料-05,926,R20260414-0173,WH-003-电商仓,已审核,2027-03-30,C型,327,,LG202604140173,顺丰,SUP-000173,供应商物料-173
BS-00000174,2026-05-07,RK-00000174,01,2026-05-07,SKU-0001,物料-26,487,R20260507-0174,WH-001-主仓,已审核,2027-09-17,C型,363,,LG202605070174,顺丰,SUP-000174,供应商物料-174
BS-00000175,2026-06-05,RK-00000175,01,2026-06-06,SKU-0024,物料-25,107,R20260605-0175,WH-003-电商仓,已审核,2028-01-03,C型,916,破损,LG202606050175,圆通,SUP-000175,供应商物料-175
BS-00000176,2026-03-15,RK-00000176,03,2026-03-16,SKU-0027,物料-05,291,R20260315-0176,WH-003-电商仓,已审核,2026-09-25,A型,220,破损,LG202603150176,顺丰,SUP-000176,供应商物料-176
BS-00000177,2026-05-21,RK-00000177,02,2026-05-22,SKU-0023,物料-10,639,R20260521-0177,WH-002-次仓,已审核,2028-02-21,A型,904,正常,LG202605210177,圆通,SUP-000177,供应商物料-177
BS-00000178,2026-05-19,RK-00000178,03,2026-05-20,SKU-0013,物料-12,428,R20260519-0178,WH-003-电商仓,已审核,2027-04-01,A型,712,,LG202605190178,申通,SUP-000178,供应商物料-178
BS-00000179,2026-06-02,RK-00000179,03,2026-06-04,SKU-0011,物料-17,232,R20260602-0179,WH-001-主仓,已审核,2027-04-27,B型,807,破损,LG202606020179,中通,SUP-000179,供应商物料-179
BS-00000180,2026-05-18,RK-00000180,02,2026-05-20,SKU-0028,物料-14,261,R20260518-0180,WH-001-主仓,已审核,2027-09-09,D型,703,,LG202605180180,圆通,SUP-000180,供应商物料-180
BS-00000181,2026-04-30,RK-00000181,01,2026-05-02,SKU-0029,物料-26,89,R20260430-0181,WH-002-次仓,已审核,2027-12-23,B型,464,,LG202604300181,圆通,SUP-000181,供应商物料-181
BS-00000182,2026-06-05,RK-00000182,03,2026-06-05,SKU-0018,物料-05,835,R20260605-0182,WH-002-次仓,已审核,2028-01-24,B型,676,,LG202606050182,中通,SUP-000182,供应商物料-182
BS-00000183,2026-05-17,RK-00000183,01,2026-05-17,SKU-0023,物料-05,691,R20260517-0183,WH-001-主仓,已审核,2027-05-24,C型,863,,LG202605170183,中通,SUP-000183,供应商物料-183
BS-00000184,2026-06-06,RK-00000184,01,2026-06-07,SKU-0028,物料-24,422,R20260606-0184,WH-002-次仓,已审核,2027-09-11,C型,201,正常,LG202606060184,顺丰,SUP-000184,供应商物料-184
BS-00000185,2026-05-18,RK-00000185,02,2026-05-18,SKU-0009,物料-06,678,R20260518-0185,WH-003-电商仓,已审核,2027-07-25,D型,602,破损,LG202605180185,顺丰,SUP-000185,供应商物料-185
BS-00000186,2026-06-07,RK-00000186,02,2026-06-07,SKU-0021,物料-15,402,R20260607-0186,WH-001-主仓,已审核,2028-04-20,D型,344,,LG202606070186,顺丰,SUP-000186,供应商物料-186
BS-00000187,2026-05-09,RK-00000187,01,2026-05-09,SKU-0030,物料-27,343,R20260509-0187,WH-002-次仓,已审核,2027-09-13,A型,914,破损,LG202605090187,中通,SUP-000187,供应商物料-187
BS-00000188,2026-05-28,RK-00000188,01,2026-05-28,SKU-0011,物料-05,898,R20260528-0188,WH-001-主仓,未审核,2027-08-28,C型,853,破损,LG202605280188,中通,SUP-000188,供应商物料-188
BS-00000189,2026-05-13,RK-00000189,01,2026-05-15,SKU-0006,物料-29,337,R20260513-0189,WH-003-电商仓,已审核,2027-09-14,B型,977,正常,LG202605130189,中通,SUP-000189,供应商物料-189
BS-00000190,2026-05-17,RK-00000190,03,2026-05-19,SKU-0016,物料-08,11,R20260517-0190,WH-002-次仓,已审核,2027-05-17,D型,907,正常,LG202605170190,顺丰,SUP-000190,供应商物料-190
BS-00000191,2026-06-04,RK-00000191,01,2026-06-04,SKU-0005,物料-01,212,R20260604-0191,WH-001-主仓,已审核,2027-07-12,D型,570,,LG202606040191,中通,SUP-000191,供应商物料-191
BS-00000192,2026-04-06,RK-00000192,03,2026-04-06,SKU-0001,物料-21,267,R20260406-0192,WH-003-电商仓,已审核,2027-11-28,B型,825,,LG202604060192,中通,SUP-000192,供应商物料-192
BS-00000193,2026-03-12,RK-00000193,02,2026-03-14,SKU-0022,物料-03,772,R20260312-0193,WH-002-次仓,未审核,2026-10-04,A型,576,正常,LG202603120193,申通,SUP-000193,供应商物料-193
BS-00000194,2026-05-18,RK-00000194,02,2026-05-19,SKU-0014,物料-21,376,R20260518-0194,WH-001-主仓,已审核,2027-11-29,C型,857,破损,LG202605180194,圆通,SUP-000194,供应商物料-194
BS-00000195,2026-05-28,RK-00000195,01,2026-05-30,SKU-0030,物料-19,155,R20260528-0195,WH-003-电商仓,已审核,2027-10-09,C型,76,破损,LG202605280195,圆通,SUP-000195,供应商物料-195
BS-00000196,2026-03-29,RK-00000196,02,2026-03-29,SKU-0023,物料-15,846,R20260329-0196,WH-003-电商仓,未审核,2027-02-02,B型,636,正常,LG202603290196,中通,SUP-000196,供应商物料-196
BS-00000197,2026-03-23,RK-00000197,01,2026-03-23,SKU-0021,物料-04,387,R20260323-0197,WH-003-电商仓,已审核,2028-02-23,A型,121,,LG202603230197,顺丰,SUP-000197,供应商物料-197
BS-00000198,2026-04-18,RK-00000198,03,2026-04-18,SKU-0019,物料-27,450,R20260418-0198,WH-003-电商仓,已审核,2027-07-21,B型,680,,LG202604180198,申通,SUP-000198,供应商物料-198
BS-00000199,2026-04-22,RK-00000199,01,2026-04-24,SKU-0006,物料-25,464,R20260422-0199,WH-003-电商仓,已审核,2027-07-30,C型,116,,LG202604220199,申通,SUP-000199,供应商物料-199
BS-00000200,2026-04-16,RK-00000200,02,2026-04-16,SKU-0028,物料-02,416,R20260416-0200,WH-002-次仓,已审核,2027-04-27,B型,35,正常,LG202604160200,圆通,SUP-000200,供应商物料-200
BS-00000201,2026-03-27,RK-00000201,01,2026-03-29,SKU-0012,物料-30,796,R20260327-0201,WH-003-电商仓,已审核,2027-06-24,B型,631,正常,LG202603270201,申通,SUP-000201,供应商物料-201
BS-00000202,2026-05-15,RK-00000202,02,2026-05-16,SKU-0027,物料-26,28,R20260515-0202,WH-002-次仓,已审核,2027-01-17,C型,75,破损,LG202605150202,申通,SUP-000202,供应商物料-202
BS-00000203,2026-05-17,RK-00000203,03,2026-05-17,SKU-0007,物料-28,963,R20260517-0203,WH-002-次仓,已审核,2027-07-03,C型,423,正常,LG202605170203,申通,SUP-000203,供应商物料-203
BS-00000204,2026-04-19,RK-00000204,02,2026-04-19,SKU-0010,物料-17,889,R20260419-0204,WH-001-主仓,已审核,2027-05-25,C型,726,,LG202604190204,中通,SUP-000204,供应商物料-204
BS-00000205,2026-05-09,RK-00000205,02,2026-05-10,SKU-0010,物料-12,988,R20260509-0205,WH-001-主仓,已审核,2028-01-31,B型,622,破损,LG202605090205,圆通,SUP-000205,供应商物料-205
BS-00000206,2026-05-29,RK-00000206,02,2026-05-31,SKU-0028,物料-20,442,R20260529-0206,WH-002-次仓,已审核,2027-09-24,B型,509,,LG202605290206,圆通,SUP-000206,供应商物料-206
BS-00000207,2026-04-18,RK-00000207,02,2026-04-18,SKU-0030,物料-08,438,R20260418-0207,WH-003-电商仓,未审核,2027-11-18,B型,727,,LG202604180207,顺丰,SUP-000207,供应商物料-207
BS-00000208,2026-03-27,RK-00000208,02,2026-03-27,SKU-0025,物料-29,261,R20260327-0208,WH-003-电商仓,已审核,2027-08-08,A型,10,破损,LG202603270208,中通,SUP-000208,供应商物料-208
BS-00000209,2026-05-31,RK-00000209,02,2026-05-31,SKU-0013,物料-05,805,R20260531-0209,WH-002-次仓,已审核,2027-08-17,D型,745,,LG202605310209,申通,SUP-000209,供应商物料-209
BS-00000210,2026-05-24,RK-00000210,01,2026-05-24,SKU-0007,物料-25,852,R20260524-0210,WH-003-电商仓,未审核,2027-11-19,A型,591,破损,LG202605240210,中通,SUP-000210,供应商物料-210
BS-00000211,2026-03-22,RK-00000211,03,2026-03-23,SKU-0019,物料-10,571,R20260322-0211,WH-002-次仓,已审核,2027-10-11,D型,671,,LG202603220211,申通,SUP-000211,供应商物料-211
BS-00000212,2026-04-08,RK-00000212,01,2026-04-10,SKU-0001,物料-19,916,R20260408-0212,WH-001-主仓,已审核,2027-05-19,C型,468,,LG202604080212,申通,SUP-000212,供应商物料-212
BS-00000213,2026-06-10,RK-00000213,03,2026-06-11,SKU-0015,物料-29,832,R20260610-0213,WH-003-电商仓,已审核,2028-03-06,D型,378,破损,LG202606100213,顺丰,SUP-000213,供应商物料-213
BS-00000214,2026-06-01,RK-00000214,01,2026-06-03,SKU-0014,物料-09,658,R20260601-0214,WH-003-电商仓,已审核,2027-09-28,A型,736,,LG202606010214,顺丰,SUP-000214,供应商物料-214
BS-00000215,2026-05-27,RK-00000215,03,2026-05-28,SKU-0013,物料-16,919,R20260527-0215,WH-003-电商仓,已审核,2028-04-10,C型,831,,LG202605270215,顺丰,SUP-000215,供应商物料-215
BS-00000216,2026-05-30,RK-00000216,03,2026-05-31,SKU-0007,物料-01,747,R20260530-0216,WH-001-主仓,未审核,2027-10-19,D型,151,破损,LG202605300216,申通,SUP-000216,供应商物料-216
BS-00000217,2026-03-13,RK-00000217,01,2026-03-15,SKU-0012,物料-15,230,R20260313-0217,WH-003-电商仓,已审核,2028-02-11,D型,23,破损,LG202603130217,申通,SUP-000217,供应商物料-217
BS-00000218,2026-03-31,RK-00000218,01,2026-03-31,SKU-0008,物料-02,122,R20260331-0218,WH-002-次仓,已审核,2027-08-12,D型,477,破损,LG202603310218,中通,SUP-000218,供应商物料-218
BS-00000219,2026-05-26,RK-00000219,03,2026-05-26,SKU-0015,物料-25,158,R20260526-0219,WH-003-电商仓,已审核,2028-03-27,B型,720,正常,LG202605260219,圆通,SUP-000219,供应商物料-219
BS-00000220,2026-05-22,RK-00000220,02,2026-05-23,SKU-0027,物料-14,569,R20260522-0220,WH-002-次仓,已审核,2028-02-21,C型,540,,LG202605220220,申通,SUP-000220,供应商物料-220
BS-00000221,2026-04-18,RK-00000221,03,2026-04-19,SKU-0017,物料-25,67,R20260418-0221,WH-003-电商仓,已审核,2028-04-01,B型,419,破损,LG202604180221,中通,SUP-000221,供应商物料-221
BS-00000222,2026-05-06,RK-00000222,02,2026-05-07,SKU-0021,物料-26,206,R20260506-0222,WH-002-次仓,未审核,2028-01-19,C型,836,,LG202605060222,中通,SUP-000222,供应商物料-222
BS-00000223,2026-06-03,RK-00000223,03,2026-06-03,SKU-0012,物料-21,746,R20260603-0223,WH-001-主仓,已审核,2028-02-15,D型,159,破损,LG202606030223,申通,SUP-000223,供应商物料-223
BS-00000224,2026-04-19,RK-00000224,02,2026-04-21,SKU-0028,物料-16,658,R20260419-0224,WH-003-电商仓,已审核,2027-05-30,D型,783,,LG202604190224,申通,SUP-000224,供应商物料-224
BS-00000225,2026-04-11,RK-00000225,01,2026-04-11,SKU-0013,物料-10,716,R20260411-0225,WH-001-主仓,已审核,2028-03-17,A型,840,,LG202604110225,顺丰,SUP-000225,供应商物料-225
BS-00000226,2026-05-30,RK-00000226,01,2026-05-31,SKU-0008,物料-12,727,R20260530-0226,WH-001-主仓,已审核,2028-04-24,D型,342,破损,LG202605300226,顺丰,SUP-000226,供应商物料-226
BS-00000227,2026-04-03,RK-00000227,02,2026-04-03,SKU-0010,物料-13,27,R20260403-0227,WH-003-电商仓,已审核,2027-11-21,B型,83,破损,LG202604030227,顺丰,SUP-000227,供应商物料-227
BS-00000228,2026-04-14,RK-00000228,02,2026-04-14,SKU-0007,物料-20,789,R20260414-0228,WH-003-电商仓,已审核,2027-01-19,B型,447,正常,LG202604140228,中通,SUP-000228,供应商物料-228
BS-00000229,2026-03-28,RK-00000229,02,2026-03-28,SKU-0002,物料-09,224,R20260328-0229,WH-002-次仓,已审核,2027-11-05,D型,392,破损,LG202603280229,顺丰,SUP-000229,供应商物料-229
BS-00000230,2026-04-04,RK-00000230,02,2026-04-06,SKU-0029,物料-28,727,R20260404-0230,WH-003-电商仓,已审核,2027-11-09,B型,924,破损,LG202604040230,申通,SUP-000230,供应商物料-230
BS-00000231,2026-04-15,RK-00000231,01,2026-04-16,SKU-0029,物料-26,645,R20260415-0231,WH-003-电商仓,已审核,2027-02-18,D型,360,破损,LG202604150231,顺丰,SUP-000231,供应商物料-231
BS-00000232,2026-04-03,RK-00000232,03,2026-04-03,SKU-0016,物料-02,25,R20260403-0232,WH-002-次仓,已审核,2028-03-01,A型,275,正常,LG202604030232,申通,SUP-000232,供应商物料-232
BS-00000233,2026-03-19,RK-00000233,01,2026-03-19,SKU-0029,物料-19,686,R20260319-0233,WH-002-次仓,已审核,2026-10-19,A型,814,,LG202603190233,申通,SUP-000233,供应商物料-233
BS-00000234,2026-05-04,RK-00000234,03,2026-05-05,SKU-0004,物料-15,669,R20260504-0234,WH-003-电商仓,已审核,2027-04-02,D型,982,正常,LG202605040234,圆通,SUP-000234,供应商物料-234
BS-00000235,2026-06-06,RK-00000235,01,2026-06-06,SKU-0006,物料-30,797,R20260606-0235,WH-003-电商仓,已审核,2028-01-08,A型,666,,LG202606060235,圆通,SUP-000235,供应商物料-235
BS-00000236,2026-04-01,RK-00000236,02,2026-04-01,SKU-0007,物料-15,408,R20260401-0236,WH-003-电商仓,已审核,2026-11-30,D型,960,破损,LG202604010236,顺丰,SUP-000236,供应商物料-236
BS-00000237,2026-03-30,RK-00000237,01,2026-03-30,SKU-0030,物料-24,242,R20260330-0237,WH-001-主仓,已审核,2027-05-12,B型,654,破损,LG202603300237,申通,SUP-000237,供应商物料-237
BS-00000238,2026-04-11,RK-00000238,01,2026-04-11,SKU-0023,物料-01,34,R20260411-0238,WH-001-主仓,已审核,2027-06-17,D型,414,破损,LG202604110238,圆通,SUP-000238,供应商物料-238
BS-00000239,2026-04-30,RK-00000239,02,2026-05-01,SKU-0019,物料-18,410,R20260430-0239,WH-003-电商仓,已审核,2028-02-26,C型,895,正常,LG202604300239,中通,SUP-000239,供应商物料-239
BS-00000240,2026-05-21,RK-00000240,02,2026-05-21,SKU-0028,物料-21,789,R20260521-0240,WH-002-次仓,已审核,2026-12-01,C型,432,正常,LG202605210240,圆通,SUP-000240,供应商物料-240
BS-00000241,2026-04-04,RK-00000241,01,2026-04-06,SKU-0024,物料-07,374,R20260404-0241,WH-003-电商仓,已审核,2027-09-05,D型,669,破损,LG202604040241,顺丰,SUP-000241,供应商物料-241
BS-00000242,2026-04-26,RK-00000242,01,2026-04-26,SKU-0023,物料-10,947,R20260426-0242,WH-003-电商仓,已审核,2027-10-20,D型,976,正常,LG202604260242,中通,SUP-000242,供应商物料-242
BS-00000243,2026-03-19,RK-00000243,03,2026-03-21,SKU-0004,物料-29,304,R20260319-0243,WH-001-主仓,已审核,2027-03-13,D型,920,破损,LG202603190243,中通,SUP-000243,供应商物料-243
BS-00000244,2026-05-27,RK-00000244,03,2026-05-28,SKU-0010,物料-09,961,R20260527-0244,WH-003-电商仓,已审核,2027-06-25,A型,88,正常,LG202605270244,申通,SUP-000244,供应商物料-244
BS-00000245,2026-03-14,RK-00000245,01,2026-03-14,SKU-0029,物料-30,446,R20260314-0245,WH-003-电商仓,已审核,2027-02-10,C型,318,破损,LG202603140245,申通,SUP-000245,供应商物料-245
BS-00000246,2026-04-14,RK-00000246,03,2026-04-16,SKU-0004,物料-19,80,R20260414-0246,WH-001-主仓,未审核,2026-11-24,D型,736,正常,LG202604140246,申通,SUP-000246,供应商物料-246
BS-00000247,2026-05-27,RK-00000247,02,2026-05-29,SKU-0020,物料-11,721,R20260527-0247,WH-001-主仓,已审核,2027-11-09,D型,42,,LG202605270247,申通,SUP-000247,供应商物料-247
BS-00000248,2026-05-07,RK-00000248,01,2026-05-07,SKU-0005,物料-04,993,R20260507-0248,WH-002-次仓,未审核,2026-11-23,B型,899,破损,LG202605070248,圆通,SUP-000248,供应商物料-248
BS-00000249,2026-05-08,RK-00000249,01,2026-05-08,SKU-0014,物料-26,568,R20260508-0249,WH-002-次仓,已审核,2027-11-07,B型,437,正常,LG202605080249,顺丰,SUP-000249,供应商物料-249
BS-00000250,2026-04-15,RK-00000250,03,2026-04-16,SKU-0011,物料-01,34,R20260415-0250,WH-002-次仓,未审核,2026-12-28,A型,715,正常,LG202604150250,顺丰,SUP-000250,供应商物料-250
BS-00000251,2026-04-01,RK-00000251,01,2026-04-02,SKU-0002,物料-12,734,R20260401-0251,WH-003-电商仓,已审核,2027-01-24,A型,699,破损,LG202604010251,申通,SUP-000251,供应商物料-251
BS-00000252,2026-05-15,RK-00000252,01,2026-05-15,SKU-0009,物料-01,955,R20260515-0252,WH-002-次仓,已审核,2027-11-04,C型,809,正常,LG202605150252,圆通,SUP-000252,供应商物料-252
BS-00000253,2026-05-16,RK-00000253,02,2026-05-17,SKU-0022,物料-17,383,R20260516-0253,WH-001-主仓,已审核,2028-04-08,C型,344,,LG202605160253,圆通,SUP-000253,供应商物料-253
BS-00000254,2026-05-07,RK-00000254,01,2026-05-08,SKU-0012,物料-20,554,R20260507-0254,WH-002-次仓,已审核,2028-03-19,D型,464,,LG202605070254,圆通,SUP-000254,供应商物料-254
BS-00000255,2026-04-22,RK-00000255,03,2026-04-23,SKU-0024,物料-09,467,R20260422-0255,WH-003-电商仓,已审核,2026-11-19,C型,722,正常,LG202604220255,顺丰,SUP-000255,供应商物料-255
BS-00000256,2026-04-23,RK-00000256,02,2026-04-24,SKU-0027,物料-08,223,R20260423-0256,WH-003-电商仓,已审核,2027-10-12,D型,960,破损,LG202604230256,申通,SUP-000256,供应商物料-256
BS-00000257,2026-04-06,RK-00000257,03,2026-04-06,SKU-0001,物料-04,220,R20260406-0257,WH-002-次仓,已审核,2026-12-03,A型,421,正常,LG202604060257,圆通,SUP-000257,供应商物料-257
BS-00000258,2026-05-17,RK-00000258,01,2026-05-17,SKU-0022,物料-08,550,R20260517-0258,WH-003-电商仓,已审核,2027-02-17,A型,479,正常,LG202605170258,圆通,SUP-000258,供应商物料-258
BS-00000259,2026-06-07,RK-00000259,03,2026-06-09,SKU-0015,物料-23,780,R20260607-0259,WH-003-电商仓,已审核,2027-12-16,A型,524,,LG202606070259,申通,SUP-000259,供应商物料-259
BS-00000260,2026-04-06,RK-00000260,03,2026-04-07,SKU-0006,物料-22,48,R20260406-0260,WH-003-电商仓,已审核,2028-02-10,B型,574,正常,LG202604060260,圆通,SUP-000260,供应商物料-260
BS-00000261,2026-03-19,RK-00000261,02,2026-03-19,SKU-0024,物料-10,269,R20260319-0261,WH-002-次仓,已审核,2027-12-10,C型,947,破损,LG202603190261,顺丰,SUP-000261,供应商物料-261
